Raga           Aaroha                              Avroha

Abhogi Kanada  S R G_ M_ D S.  S. D M G_ R G_ M R S
Adana          S R M P D_ N_ S.  S. D_ N_ P M P G_ M R S
*Aheer Bhairav  S R_ G M P D N_ S.  S. N_ D P M G R_ S
Alhaiya Bilawal  S R G P D N S.  S. N D P D N_ D P M G R S
Bageshree  S R G_ M D N_ S.  S. N_ D M P D M G_ R S
Bahaar  S R S M P M G M D N S.  S. N_ P M G_ M R S N S
Bairagi  S R_ M P N_ S.  S. N_ P M R_ S
Bairagi Todi  S R_ G_ P N_ S.  S. N_ P G_ R_ S
Basant  S G M' D_ N S.  S. N D_ P M' G M' N D_ M' G R_ S
Basant Mukhari  S R_ G M P D_ N_ S.  S. N_ D_ P M G R_ S N_ S
Bhairav  S R_ G M_ P D_ N S.  S. N D_ P M G R_ S
Bhairavi  S R_ G_ M P D_ N_ S.  S. N_ D_ P M G_ R_ S
Bhatiyar?? how to write it
Bheem  N_ S G M P N_ S.  S. N_ D P M G P M
Bheempalasi  N_ S G_ M P N_ S.  S. N_ D P M G_ R S 
Bhoopali  S R G P D S.  S. D P G R S R D S
Bhoopal Todi  S R_ G_ P D_ S.  S. D_ P G_ R_ S D_ R_ S
Bihag  S G M P N S.  S. N D P M' G M G R S
Bilaskhani Todi  S R_ G_ P D_ S.  ???
Chandrakauns  S G_ M D_ N S.  S. N D_ M G_ M G_ S N S
Charukeshi  S R G M P D_ N_ S.  S. N_ D_ P M G R S D_ N_ S
*Chhayanut  S R G R G P M G R S R G M P D N S.  S. N D P M P D P R G M P M G R S 
Darbari Kanada  S R G_ M P D_ N_ S.  S. D_ N_ P M P G_ M_ R S
*Des  S R M P N S.  S. N_ D P D M G R G N S
Deshkar  S R G P D S.  S. D P D G P G R S
*Desi  S R M P N_ S.  S. P D m P R g S R N S
Dev-Gandhar  S R G M P M G_ R G M P D_ N_ S.  S. N_ D_ P M P G_ R G M_ G_ R S
Devgiri Bilawal  S R G P D N S.  ??
Devshree  S R M' P N_ S.  S. N_ P M' R S
*Durga  S R M P D S.  S. D P D M R S D S
Gaud-Malhar  ??  ??
*Gaud Sarang  S G R M G D P N D S.  S. N D P M P D P G R M G P R S
Gauri (Bhairav Ang) ?? ??  
*Gopika-Basant  S G_ M P M G_ G_ M D_ N_ S.  S. N_ D_ M P G_ M P M G_ S; ,D_ ,N_ S G_ M G_ S;
*Gorakh-Kalyan  S R M D S.  S. N_ D M R S ,N_ ; ,N_ ,D R S  
*Gunkali  S R_ M P D_ S.  S. D_ P M R_ R_ S ,D_ S
*Gurjari Todi  S R_ G_ M' D_ N_ S.  S. N D_ M' D_ M' G_ R_ G_ R_ S; ,D_ ,N S;
Hameer  ?? ??
Hansdhwani  S R G P N S.  S. N P G R S ,N ,P ,N R S
*Hanskinkini  N S G M P N S.  S. N_ D P M P G M P G_ R S ,N S
Harikauns  S G_ M' D N_ S.   S. N_ D M' G_ S 
Hemant  S G M D N S.  S. N D P M G R S
Hemshri  N S G_ M P N S.  S. N_ P M G_ M G_ S N N S
Hindol  S G M' D N M' D S.  S. N D M' G M' G S D S
Jaldhar-Kedar  S R M P D S.  S. D P M R S
Jaunpuri  S R M P D_ N_ S.  S. N_ D_ P M G_ R S
Jhinjhoti  S R M P D S.  S. N_ D P M G R G S;
Jog  S G M P N_ S.  S. N_ P M G_ S
Jogeshwari  S G M D N_ S.  S. N_ D M G M G_ S
Pancham Jogeshwari  S G M D N_ S.  S. N_ D M G M P M G_ S
Jogiya  S R_ M P D_ S.  S. N D_ P M M R_ S 
Kafi  S R G_ M P D N_ S.  S. N_ D P M G_ R S


